label,value
"Abra
                          ",1
"Agusan del Norte
                          ",2
"Agusan del Sur
                          ",3
"Aklan
                          ",4
"Albay
                          ",5
"Antique
                          ",6
"Apayao
                          ",7
"Aurora
                          ",8
"Basilan
                          ",9
"Bataan
                          ",10
"Batanes
                          ",11
"Batangas
                          ",12
"Benguet
                          ",13
"Biliran
                          ",14
"Bohol
                          ",15
"Bukidnon
                          ",16
"Bulacan
                          ",17
"Cagayan
                          ",18
"Camarines Norte
                          ",19
"Camarines Sur
                          ",20
"Camiguin
                          ",21
"Capiz
                          ",22
"Catanduanes
                          ",23
"Cavite
                          ",24
"Cebu
                          ",25
"Compostela Valley
                          ",26
"Cotabato
                          ",27
"Davao del Norte
                          ",28
"Davao del Sur
                          ",29
"Davao Oriental
                          ",30
"Eastern Samar
                          ",31
"Guimaras
                          ",32
"Ifugao
                          ",33
"Ilocos Norte
                          ",34
"Ilocos Sur
                          ",35
"Iloilo
                          ",36
"Isabela
                          ",37
"Kalinga
                          ",38
"La Union
                          ",39
"Laguna
                          ",40
"Lanao del Norte
                          ",41
"Lanao del Sur
                          ",42
"Leyte
                          ",43
"Maguindanao
                          ",44
"Marinduque
                          ",45
"Masbate
                          ",46
"Metro Manila
                          ",47
"Misamis Occidental
                          ",48
"Misamis Oriental
                          ",49
"Mountain Province
                          ",50
"Negros Occidental
                          ",51
"Negros Oriental
                          ",52
"Northern Samar
                          ",53
"Nueva Ecija
                          ",54
"Nueva Vizcaya
                          ",55
"Occidental Mindoro
                          ",56
"Oriental Mindoro
                          ",57
"Palawan
                          ",58
"Pampanga
                          ",59
"Pangasinan
                          ",60
"Quezon
                          ",61
"Quirino
                          ",62
"Rizal
                          ",63
"Romblon
                          ",64
"Samar
                          ",65
"Sarangani
                          ",66
"Siquijor
                          ",67
"Sorsogon
                          ",68
"South Cotabato
                          ",69
"Southern Leyte
                          ",70
"Sultan Kudarat
                          ",71
"Sulu
                          ",72
"Surigao del Norte
                          ",73
"Surigao del Sur
                          ",74
"Tarlac
                          ",75
"Tawi-Tawi
                          ",76
"Zambales
                          ",77
"Zamboanga del Norte
                          ",78
"Zamboanga del Sur
                          ",79
"Zamboanga Sibugay
                          ",80
"Cagayan de Oro
                          ",81
"Dinagat Island
                          ",82
"Butuan
                          ",83
"First District
                          ",84
"Second District
                          ",85
"Third District
                          ",86
"Fourth District
                          ",87
"Davao Occidental
                          ",88
